title,author,publisher,call_number,isbn,edition,year,pages,copies,remarks,image_url,,,,,,,,,
Historical Events of the Phil. Islands,,,,,,,,,,,,,,,,,,,
Pictorial Album on Rizal,,,,,,,,,,,,,,,,,,,
Politacal & Historical Writing of Rizal,,,,,,,,,,,,,,,,,,,
Quotations from Rizal's Wirtings,,,,,,,,,,,,,,,,,,,
Reminiscence of Dr. Jose Rizal,,,,,,,,,,,,,,,,,,,
Reminiscence & Travel of Dr. J. P. Rizal,,,,,,,,,,,,,,,,,,,
Rizal as an Internationalist,,,,,,,,,,,,,,,,,,,
"Mabini, Historical ?",,,,,,,,,,,,,,,,,,,
The Malolos Congress,,,,,,,,,,,,,,,,,,,
Winning Essays,,,,,,,,,,,,,,,,,,,
El Filibusterismo,,,,,,,,,,,,,,,,,,,
Noli Me Tangere,,,,,,,,,,,,,,,,,,,
Rizal - Blumentritt Correspondence ,,,,,,,,,,,,,,,,,,,
The Constitution of the Republic of the Philippines,Nolledo,National Book Store Inc,,,,1994,,,,,,,,,,,,,
Textbook in Phil. Contitution,"de Leon, Hector S.",Rex Printing Co. Inc,342.02,,,1997,,,,,,,,,,,,,
Textbook in Phil. Contitution,"de Leon, Hector S.",Rex Printing Co. Inc,342.02,,,1997,,,9 copies,,,,,,,,,,
To Win the Future,,,,,,,,,,,,,,,,,,,
A Call to Duty,,,,,,,,,,,,,,,,,,,
Time for Take-Off,,,,,,,,,,,,,,,,,,,
From Growth to Modernization,,,,,,,,,,,,,,,,,,,
Our Time has Come,,,,,,,,,,,,,,,,,,,
Leadership for the 21st Century,,,,,,,,,,,,,,,,,,,
The Continuity of Freedom,,,,,,,,,,,,,,,,,,,
Break not the Peace,,,,,,,,,,,,,,,,,,,
Fidel valdez Ramos,"Crisostomo, Isabelo T.",,,,,,,,,,,,,,,,,,
Philippines 2000: A Vision for the Nation,,,,,,,,,,,,,,,,,,,
Fundementals of Political Science,"Ayson, Florentino G.",National Book Store Inc,320,,,1993,,,,,,,,,,,,,
General Psychology,"Kahayon, Alicia H.",,150,,,,,,,,,,,,,,,,
General Psychology,"Kahayon, Alicia H.",,150,,,,,,,,,,,,,,,,
General Psychology,"Kahayon, Alicia H.",,150,,,,,,,,,,,,,,,,
Freshman Psychology,"Amparo, Librada B.",,150,,,,251,,,,,,,,,,,,
Introductory Economics,"Miranda, Gregorio S.",[s.n.],330,,,1996,345,,,,,,,,,,,,
Panimulang Aklat sa Pag-aalaga ng Baboy,"Katigbak, Gabriel S.",,636.4,,,,,,,,,,,,,,,,
General Psychology,"Kahayon, Alicia H.",,150,,,,,,,,,,,,,,,,
The Webster Dictionary,,,,,,,,,,,,,,,,,,,
Above San Francisco,,,,,,,,,,,,,,,,,,,
Foundation of Physical Education,,,,,,,,,,,,,,,,,,,
General Psychology,"Kahayon, Alicia H.",National Book Store Inc,150,,,1985,400,,,,,,,,,,,,
General Psychology,"Kahayon, Alicia H.",,150,,,,,,,,,,,,,,,,
General Psychology,"Gaerlas, Josefina",Ken Incorporated,150,,,1978,194,,,,,,,,,,,,
Modern Biology,"Velasquez, Carmen C.",National Book Store Inc,574,,,1993,829,,,,,,,,,,,,
Chemistry,"Nortimer, Charles E.",,540,,,,,,,,,,,,,,,,
Retorika sa Kolehiyo,Alcontiser P. Tumangan Sr.,GrandWater Pub.,808,,,1997,201,,,,,,,,,,,,
Istorya kan mga Banwaan kan Sorsogon,,,,,,,,,,,,,,,,,,,
English-Tagalog Dictionary,,,,,,,,,,,,,,,,,,,
Pagbasa at Pagsulat sa Ibat-ibang Disiplina,,,,,,,,,,,,,,,,,,,
Webster New Complete Desh + Reference Book,,,,,,,,,,,,,,,,,,,
The Revised Penal Code of the Philippines,Dominador D. Buhais,Rex Printing Co. Inc,248.023,,,1996,,,,,,,,,,,,,
Basic Agriculture,"de Leon, Manuel V.",Phoenix Pub. House,630,,,1995,,,,,,,,,,,,,
